trip_id,user_id,trip_timestamp,fare,payment_method_hash,is_fraud,signup_date,device_id
3731,0,2025-01-03 01:08:00,92.65,card_0,0,2024-01-04,device_124
5294,0,2025-01-03 17:03:00,71.79,card_140,0,2024-01-04,device_124
8694,0,2025-01-07 10:27:00,29.87,card_649,0,2024-01-04,device_124
2683,0,2025-01-07 17:39:00,51.41,card_76,0,2024-01-04,device_124
9654,0,2025-01-08 12:24:00,26.48,card_43,0,2024-01-04,device_124
6881,0,2025-01-10 20:44:00,55.74,card_783,0,2024-01-04,device_124
2215,0,2025-01-18 03:15:00,32.59,card_111,0,2024-01-04,device_124
5640,0,2025-01-18 05:31:00,14.64,card_634,0,2024-01-04,device_124
4655,1,2025-01-10 08:08:00,64.6,card_84,0,2024-06-05,device_193
9444,1,2025-01-18 23:55:00,38.19,card_323,0,2024-06-05,device_193
8533,1,2025-01-24 06:39:00,80.24,card_503,0,2024-06-05,device_193
5221,1,2025-01-25 01:14:00,68.31,card_256,0,2024-06-05,device_193
1654,1,2025-01-27 08:52:00,93.25,card_851,0,2024-06-05,device_193
9707,1,2025-01-27 20:04:00,36.92,card_51,0,2024-06-05,device_193
3160,1,2025-01-27 20:05:00,12.07,card_206,1,2024-06-05,device_193
4531,1,2025-01-30 05:15:00,61.19,card_549,0,2024-06-05,device_193
1044,2,2025-01-08 23:55:00,50.23,card_829,0,2024-01-29,device_681
3946,2,2025-01-09 03:03:00,57.17,card_348,0,2024-01-29,device_681
7805,2,2025-01-11 10:21:00,55.65,card_352,0,2024-01-29,device_681
1318,2,2025-01-13 04:03:00,78.05,card_215,0,2024-01-29,device_681
6483,2,2025-01-14 06:16:00,99.45,card_657,0,2024-01-29,device_681
5466,2,2025-01-14 15:39:00,73.12,card_155,0,2024-01-29,device_681
8389,2,2025-01-16 02:41:00,63.92,card_191,0,2024-01-29,device_681
5550,2,2025-01-19 00:37:00,22.89,card_155,0,2024-01-29,device_681
6851,2,2025-01-19 14:07:00,81.03,card_263,0,2024-01-29,device_681
1767,2,2025-01-20 17:41:00,69.72,card_371,0,2024-01-29,device_681
7776,2,2025-01-22 18:14:00,7.43,card_491,0,2024-01-29,device_681
